Acer A515-56G-57H5 (Charcoal Black) A515-56G-56AZ  (Pure Silver) | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Asus X515EA-BQ2390WS (Slate Grey) | 15.6-inch FHD IPS | Intel Core i3-1115G4 | 4GB RAM | 1TB HDD + 256GB SSD |  | Windows 11 |  |
Asus X515JA-EJ2124W SLATE GREY | 15-inch FHD | Intel Core i5-1035G1 | 8GB DDR4 RAM | 256GB PCIe3 SSD |  | Windows 11 |  |
Asus X515MA-BR614W Silver / BR419W Grey | 15.6-inch | Intel Celeron N4020 | 4GB RAM | 1TB HDD + 128GB SSD | Intel UHD Graphics | Windows 11 |  |
Asus ZENBOOK 13 OLED GREY UM325UA-KG138WS | 13.3-inch FHD | AMD Ryzen 7 5700U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Asus ZenBook 13 OLED UX325EA-KG230TS (Gray) | 13.3-inch FHD OLED | Intel Core i5-1135G7 | 8GB RAM | 512GB PCIe SSD | Intel Iris Xe Graphics | Windows 10 |  |
Asus ZENBOOK 13 OLED UX325EA-KG272WS Grey | 13.3-inch FHD OLED | Intel Core i7-1165G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 | NumberPad |
Asus ZENBOOK 13 OLED UX325EA-KG661WS Grey | 13.3-inch FHD OLED | Intel Core i7-1165G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 | NumberPad |
ASUS ZenBook 13 UX331UAL (EG003T Blue/ EG010T Rose Gold) | 13.3-inch FHD | Intel Core i5-8250U | 8GB RAM | 256GB SSD |  | Windows 10 |  |
Asus Zenbook 14 UX425EA-HA070TS | 14-inch WQHD IPS 300nits | Intel Core i5-1135G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Asus Zenbook 14 UX425EA-HA663WS (Grey) | 14-inch WQHD | Intel Core i5-1135G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Asus Zenbook 14 UX433FN-A6346T/Silver A6336T/Blue | 14-inch FHD | Intel Core i5-8265U | 8GB RAM | 1TB SSD | NVIDIA GeForce MX150 | Windows 10 |  |
Asus Zenbook 14 UX434FQ-A6101TS(Silver) | 14-inch FHD | Intel Core i5-10210U | 8GB RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 10 |  |
Asus ZENBOOK 14X OLED UX5401ZAS-KN016WS (Space Edition) | 14-inch 2.8K Touch | Intel Core i7-12700H | 16GB RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Asus ZENBOOK 14X OLED UX5401ZAS-KN072WS (Space Edition) | 14-inch 2.8K Touch | Intel Core i5-12500H | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Asus ZENBOOK 14X UM5401QA-KN009WS | 14-inch WQXGA+ OLED Touch | AMD Ryzen 5 5600H | 16GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Asus ZenBook Duo 14 UX482EA-HY105TS (Blue) | 14-inch FHD Touch + 12-inch ScreenPad | Intel Core i5-1135G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Asus ZenBook Duo UX482EAR-HY341WS | 14-inch FHD + 12.65-inch ScreenPad | Intel Core i5-1135G7 | 16GB RAM | 512GB SSD + 32GB Opt | Intel Iris Xe Graphics | Windows 11 |  |
Asus ZenBook DUO UX482EGR-KA357WS | 14-inch FHD Touch + 12.65-inch ScreenPad Plus | Intel Core i7-1195G7 | 16GB RAM | 1TB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Asus ZENBOOK PRO DUO UX582HS-H2002WS | 15.6-inch OLED Touch | Intel Core i9-11900H | 32GB RAM | 1TB NVMe M.2 SSD | NVIDIA GeForce RTX 3080 | Windows 11 |  |
Asus ZenBook S UX391UA (EG006T/Blue ET088T/Red ) | 13.3-inch FHD IPS | Intel Core i7-8550U | 8GB RAM | 256GB SSD |  | Windows 10 |  |
Asus Zenbook UX433FN-A6174T i.Silver | 14-inch FHD | Intel Core i5-8265u | 8GB RAM | 512GB M.2 SSD | NVIDIA GeForce MX150 | Windows 10 |  |
Asus ZenBook UX434FQ-A6100TS (Celestial Blue) | 14-inch FHD IPS | Intel Core i5-10210U | 8GB RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 10 |  |
CHUWI AeroBook Pro | 13.3-inch FHD IPS | Intel Core m3-8100Y | 8GB RAM | 256GB SSD |  | Windows 10 | 2MP Webcam |
CHUWI CoreBook Pro | 13-inch 2K IPS | Intel Core i3-6157U | 8GB RAM | 256GB SSD | Intel Iris 550 | Windows 10 |  |
CHUWI MijaBook | 13.3-inch 3K IPS | Intel Celeron N3450 | 8GB RAM | 256GB SSD |  | Windows 10 |  |
Dell Gaming G15 5515 (Grey/Green) | 15.6-inch FHD 120Hz | AMD Ryzen 5 5600H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Dell Gaming G15 5515 (Grey/Green) | 15.6-inch FHD 120Hz | AMD Ryzen 5 5600H | 8GB RAM | 256GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Dell Gaming G15 5515 (Grey/Green) | 15.6-inch FHD 120Hz | AMD Ryzen 7 5800H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Dell Gaming G15 5515 (Grey/Green) | 15.6-inch FHD 120Hz | AMD Ryzen 7 5800H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Dell Gaming G5 5505 | 15.6-inch FHD 120Hz | AMD Ryzen 5 4600H | 8GB RAM | 512GB SSD | AMD Radeon RX 5600M | Windows 10 |  |
Dell Inspiron 13 5301 Platinum Silver | 13.3-inch FHD | Intel Core i7-1165G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 10 |  |
Dell Inspiron 13 5310 | 13.3-inch QHD | Intel Core i7-11390H | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Dell Inspiron 13 7386 (2-in-1) | 13.3-inch FHD IPS Touch | Intel Core i5-8265U | 8GB RAM | 256GB SSD |  | Windows 10 |  |
Dell Inspiron 14 7400 (Platinum Silver) | 14.5-inch QHD+ Non-Touch | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 10 |  |
Dell Inspiron 16 Plus 7610 | 16-inch 3K Display | Intel Core i7-11800H | 16GB RAM | 1TB SSD | Intel UHD Graphics | Windows 11 Home |  |
Dell Inspiron 3501 (Blue) | 15.6-inch FHD | Intel Core i3-1125G4 | 4GB RAM | 256GB SSD | Intel UHD Graphics | Windows 10 |  |
Dell Inspiron 3511 (Black/Silver) | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 10/11 |  |
Dell Inspiron 3511 (Black/Silver) | 15.6-inch FHD | Intel Core i7-1165G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX350 | Windows 10 |  |
Dell Inspiron 3511 (Black/Silver/Blue) | 15.6-inch FHD | Intel Core i3-1115G4 | 4GB RAM | 256GB SSD | Intel UHD Graphics | Windows 10/11 |  |
Dell Inspiron 3511 (Black/Silver/Blue) | 15.6-inch FHD | Intel Core i5-1135G7 | 4GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Dell Inspiron 5410 (Silver/Peach) | 14-inch FHD | Intel Core i7-11390H | 16GB RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Dell Inspiron 5410 (Silver/Peach) | 14-inch FHD | Intel Core i7-11390H | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Dell Inspiron 5415 (Platinum Silver/Peach Dust) | 14-inch FHD | AMD Ryzen 7 5700U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Dell Inspiron 5510 (Platinum Silver/Mist Blue) | 15.6-inch FHD | Intel Core i5-11300H | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Dell Inspiron 5510 (SIlver/Blue) | 15.6-inch FHD | Intel Core i7-11390H | 16GB RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Dell Inspiron 5510 (SIlver/Blue) | 15.6-inch FHD | Intel Core i7-11390H | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Dell Inspiron 7472 | 14-inch FHD IPS | Intel Core i5-8250U | 4GB RAM | 512GB HDD + 128GB SSD | NVIDIA GeForce MX150 | Windows 10 |  |
Dell Inspiron 7490 (Silver/Ice Berry) | 14-inch FHD Non-Touch | Intel Core i5-10210U | 8GB RAM | 512GB SSD | NVIDIA GeForce MX250 | Windows 10 |  |
Dell Inspiron 7591 Silver | 15.6-inch FHD Anti-glare | Intel Core i5-9300H | 8GB RAM | 256GB SSD | NVIDIA GeForce GTX 1050 | Windows 10 |  |
Dell Inspiron 7591 Silver | 15.6-inch FHD Anti-glare | Intel Core i7-9750H | 8GB RAM | 256GB SSD | NVIDIA GeForce GTX 1050 | Windows 10 |  |
Dell Vostro 3400 (Black) | 14-inch FHD | Intel Core i3-1115G4 | 8GB RAM | 256GB SSD | Intel UHD Graphics | Windows 10 |  |
Dell Vostro 3510 (Black) | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Dell Vostro 3510 (Carbon Black) | 15.6-inch FHD Display | Intel Core i3-1115G4 | 8GB RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Dell Vostro 3510 (Carbon Black) | 15.6-inch HD Display | Intel Core i3-1115G4 | 4GB RAM | 1TB HDD | Intel UHD Graphics | Windows 10 Pro |  |
Dell Vostro 3510 BLACK | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 Pro |  |
Dell Vostro 5515 (Titan Grey) | 15.6-inch FHD | AMD Ryzen 5 5500U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 Pro |  |
Dell Vostro 5515 (Titan Grey) | 15.6-inch FHD | AMD Ryzen 7 5700U | 16GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Dell Vostro 5515 (Titan Grey) | 15.6-inch FHD | AMD Ryzen 7 5700U | 16GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 Pro |  |
Dell XPS 13 9310 (Frost White) | 13.4-inch UHD+ Touch | Intel Core i7-1195G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Dell XPS 13 9310 (Platinum Silver) | 13.4-inch UHD+ Touch | Intel Core i7-1195G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Dell XPS 15 9510 | 15.6-inch FHD+ Non-Touch | Intel Core i7-11800H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Dell XPS 15 9510 | 15.6-inch 3.5K OLED Touch | Intel Core i9-11900H | 32GB RAM | 2TB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Dell XPS 17 9710 | 17-inch UHD+ Touch | Intel Core i7-11800H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Gigabyte A5 X1 CS12130SH | 15.6-inch FHD IPS 240Hz | AMD Ryzen 9 5900HX | 16GB RAM | 512GB PCIe SSD | NVIDIA GeForce RTX 3070 | Windows 10 |  |
Gigabyte A7 X1 CS11130SH | 17.3-inch FHD IPS | AMD Ryzen 9 5900HX | 16GB RAM | 512GB PCIe SSD | NVIDIA GeForce RTX 3070 | Windows 10 |  |
Gigabyte Aero 15 OLED KD 72S1623GO | 15.6-inch 4K SAMSUNG OLED | Intel Core i7-11800H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Gigabyte AORUS 15 XE4 73PHB14HG | 15.6-inch QHD | Intel Core i7-12700H | 16GB 2x8GB DDR4 3200 RAM | 1TB GEN4 SSD | NVIDIA GeForce RTX 3070 Ti | Windows 11 |  |
Gigabyte Aorus 15G XB-8PH6150SH | 15.6-inch FHD IPS 300Hz Display | Intel Core i7-10875H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 2070 Super Max-Q | Windows 10 |  |
Gigabyte Aorus 15P XD | 15.6-inch FHD | Intel Core i7-11800H | 16GB RAM | 1TB PCIe SSD | NVIDIA GeForce RTX 3070 | Windows 11 |  |
Gigabyte AORUS 17 XE4 73PH514HG | 17.3-inch FHD | Intel Core i7-12700H | 16GB RAM | 1TB GEN4 SSD | NVIDIA GeForce RTX 3070 Ti | Windows 11 |  |
Gigabyte Aorus 17G YD 74S1345GH | 17.3-inch FHD | Intel Core i7-11800H | 32GB RAM | 512GB PCIe SSD | NVIDIA GeForce RTX 3080 | Windows 10 |  |
Gigabyte G5 GD 51S1123SH | 15.6-inch FHD IPS | Intel Core i5-11400H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 10 |  |
Gigabyte G5 KC 5S11130SH/SB | 15.6-inch FHD 144Hz | Intel Core i5-10500H | 16GB RAM | 512GB PCIe SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Gigabyte G5 KD 52PH123SO | 15.6-inch FHD | Intel Core i5-11400H | 16GB RAM | 512GB PCIe SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Gigabyte G5 MD 51S1123SH | 15.6-inch FHD IPS | Intel Core i5-11400H | 16GB RAM | 512GB PCIe SSD | NVIDIA GeForce RTX 3050 Ti | Windows 10 |  |
Gigabyte G7 GD 51S1123SO | 17.3-inch FHD | Intel Core i5-11400H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Gigabyte G7 MD 71S1123SH | 17.3-inch FHD 144Hz | Intel Core i7-11800H | 16GB RAM | 512GB GEN4 SSD | NVIDIA GeForce RTX 3050 Ti | Windows 10 |  |
HP 14s-CF2515TU (Natural Silver) | 14-inch | Intel Core i3-10110U | 4GB RAM | 1TB HDD + 128GB SSD |  | Windows 10 |  |
HP 14s-CF2538TU (Natural Silver) | 14-inch | Intel Core i3-10110U | 4GB RAM | 512GB SSD |  | Windows 11 |  |
HP 14s-DK1505AU (Natural Silver) | 14-inch HD | AMD Ryzen 3 3250U | 4GB RAM | 256GB SSD | AMD Radeon Graphics | Windows 10 |  |
HP 14s-DQ0509TU (Natural Silver) | 14-inch | Intel Celeron N4120 | 4GB RAM | 256GB SSD |  | Windows 11 |  |
HP 14s-DQ2616TU (Natural Silver) | 14-inch | Intel Core i3-1115G4 | 4GB RAM | 512GB SSD |  | Windows 11 |  |
HP 14s-DQ3036TU (Pale Gold) | 14-inch | Intel Pentium Silver N6000 | 8GB RAM | 256GB SSD |  | Windows 11 |  |
HP 14s-FQ1097AU (Pale Gold) | 14-inch | AMD Ryzen 3 5300U | 4GB RAM | 256GB SSD |  | Windows 11 |  |
HP 15s-EQ2158AU (Pale Gold) | 15.6-inch FHD | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
HP 15s-EQ2159AU (Pale Gold) | 15.6-inch FHD | AMD Ryzen 7 5700U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
HP 15s-FQ4033TU (Natural Silver) | 15.6-inch FHD | Intel Core i5-1155G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
HP ENVY 13-BA1053CL | 13.3-inch FHD IPS | Intel Core i5-1135G7 | 16GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
HP ENVY 13-BA1522TX (Natural Silver) | 13.3-inch FHD IPS | Intel Core i7-1165G7 | 16GB DDR4 RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
HP ENVY 15-EP1095TX (Natural Silver) | 15.6-inch FHD IPS | Intel Core i5-11400H | 16GB DDR4 RAM | 1TB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
HP Envy x360 13-AY1001AU (Nightfall Black) | 13.3-inch FHD Touch | AMD Ryzen 7 5800U | 16GB RAM | 1TB SSD | AMD Radeon Graphics | Windows 11 |  |
HP Envy x360 13-AY1053AU (Nightfall Black) | 13.3-inch FHD Touch | AMD Ryzen 5 5600U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
HP Omen 16-B0143TX Shadow Black | 16.1-inch FHD IPS 60Hz | Intel Core i5-11400H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
HP Pavilion 14-DV1020TU (Warm Gold) | 14-inch FHD | Intel Core i5-1155G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
HP Pavilion 15-EG1029TU (Fog Blue) | 15.6-inch FHD | Intel Core i7-1195G7 | 16GB RAM | 1TB SSD | Intel Iris Xe Graphics | Windows 11 |  |
HP Pavilion 15-EH1121AU (Fog Blue) | 15.6-inch FHD | AMD Ryzen 5 5500U | 16GB RAM | 1TB SSD | AMD Radeon Graphics | Windows 11 |  |
HP Pavilion Aero 13-BE0223AU (Ceramic White) | 13.3-inch | AMD Ryzen 7 5800U | 16GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
HP Pavilion Gaming 15-DK2053TX (Acid Green) | 15.6-inch FHD IPS 144Hz | Intel Core i5-11300H | 8GB RAM | 1TB HDD + 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
HP Victus 16-D0280TX (Mica Silver) | 16.1-inch FHD | Intel Core i5-11400H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
HP Victus 16-E0215AX (Mica Silver) | 16.1-inch FHD | AMD Ryzen 5 5600H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Huawei MateBook 13 | 13.3-inch Full View Display | Intel Core i5-8265U | 8GB RAM | 512GB SSD | NVIDIA GeForce MX250 | Windows 10 |  |
Huawei MateBook 13 | 13.3-inch Full View Display | Intel Core i7-8565U | 8GB RAM | 512GB SSD | NVIDIA GeForce MX250 | Windows 10 |  |
Huawei Matebook 13 2020 (Grey) | 13-inch 2K IPS Multi-Touch | Intel Core i5-10210U | 16GB RAM | 512GB SSD |  | Windows 10 |  |
Huawei Matebook 13 2020 (Grey) | 13-inch 2K IPS Multi-Touch | Intel Core i7-10510U | 16GB RAM | 512GB SSD |  | Windows 10 |  |
Huawei MateBook 14 2021 | 14-inch 1440p Display | Intel Core i5-1135G7 | 8GB LPDDR4X RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Huawei Matebook 14 53012XGN (Space Grey) | 14-inch 2K IPS | AMD Ryzen 5 5500U | 16GB RAM | 512GB SSD |  | Windows 11 |  |
Huawei Matebook 14 53013BET | 14-inch FHD | Intel Core i5-1135G7 | 16GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Huawei Matebook 14 AMD Space Gray | 14-inch IPS | AMD Ryzen 5 4600H | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Huawei MateBook 14s | 14.2-inch (2520x1680) Touch | Intel Core i5-11300H | 8GB LPDDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Huawei MATEBOOK D14 | 14-inch FHD IPS | Intel Core i3-10110U | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics 620 | Windows 10 |  |
Huawei MATEBOOK D14 | 14-inch FHD IPS | Intel Core i5-10210U | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics 620 | Windows 10 |  |
Huawei Matebook D15 53012TNH 11th Gen | 15.6-inch FHD IPS | Intel Core i5-1135G7 | 16GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Huawei MATEBOOK D15 | 15.6-inch FHD IPS | Intel Core i3-10110U | 8GB DDR4 RAM | 256GB SSD | Intel UHD Graphics 620 | Windows 10 |  |
Huawei MateBook D15 | 15.6-inch FHD IPS | Intel Core i5-10210U | 8GB DDR4 RAM | 256GB PCIe SSD | Intel UHD Graphics 620 | Windows 10 |  |
Huawei Matebook D15 | 15.6-inch FHD IPS | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Huawei MATEBOOK D15 | 15.6-inch IPS | Intel Core i5-10210U | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics 620 | Windows 10 |  |
Intel NUC M15 Laptop Kit BBC510ECU7A01 (Gray) | 15.6-inch FHD Touch | Intel Core i5-1135G7 | 8GB RAM | 1TB NV1 PCIe SSD | Intel Iris Xe Graphics |  |  |
Intel NUC M15 Laptop Kit BBC710ECU7B01(Gray) | 15.6-inch FHD Touch | Intel Core i7-1165G7 | 16GB RAM | 1TB NV1 PCIe SSD | Intel Iris Xe Graphics |  |  |
Lenovo Chromebook C330 81HY0000US (Blizzard White) | 11.6-inch HD Touch | MediaTek MT8173C | 4GB RAM | 64GB eMMC | PowerVR GX6250 | Chrome OS |  |
Lenovo IdeaPad 500s (80Q2000SPH Red/80Q2000UPH White) | 13.3-inch | Intel Core i7-6500U | 4GB RAM | 128GB SSD | NVIDIA GeForce 920A | Windows 10 |  |
Lenovo IdeaPad D330-10IGL 82H0000JPH | 10.1-inch HD Detachable | Intel Celeron N4020 | 8GB DDR4 RAM | 128GB eMMC | Intel UHD Graphics 600 | Windows 10 Pro |  |
Lenovo ideaPad D330-10IGM (81H3005JPH-Bronze/05HPH-Grey) Detachable | 10.1-inch HD Touch | Intel Pentium Silver N5000 | 4GB RAM | 128GB eMMC |  | Windows 10 |  |
Lenovo IdeaPad Duet 3i 10IGL5 82AT0022PH (Graphite Grey) | 10.3-inch WUXGA Multi-Touch | Intel Celeron N4020 | 4GB RAM | 128GB eMMC |  | Windows 10 |  |
Lenovo IdeaPad Duet 3i 10IGL5 82AT006TPH (Graphite Grey) | 10.3-inch WUXGA IPS Multi-Touch | Intel Pentium Silver N5030 | 8GB RAM | 128GB eMMC |  | Windows 10 |  |
Lenovo IdeaPad Flex 5 14ALC05 82HU00E6PH | 14-inch FHD IPS | AMD Ryzen 5 5500U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Lenovo ideaPad Flex 5i 14ITL05 82HS009KPH | 14-inch FHD Touch | Intel Core i3-1115G4 | 8GB RAM | 512GB SSD | Intel UHD Graphics | Windows 10 | Active Pen |
Lenovo IdeaPad Gaming 3 15ACH6 82K20034PH | 15.6-inch FHD | AMD Ryzen 5 5600H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce GTX 1650 | Windows 11 |  |
Lenovo IdeaPad Gaming 3 15ACH6 82K20035PH | 15.6-inch FHD | AMD Ryzen 5 5600H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Lenovo IdeaPad Gaming 3 15ACH6 82K20037PH | 15.6-inch FHD 165Hz | AMD Ryzen 7 5800H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo IdeaPad Gaming 3 15ACH6 82K20038PH | 15.6-inch FHD IPS | AMD Ryzen 7 5800H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Lenovo IdeaPad Gaming 3 15ACH6 82K20039PH | 15.6-inch FHD IPS 250nits Anti-glare 120Hz | AMD Ryzen 7 5800H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo IdeaPad Gaming 3 15ACH6 82K2003APH | 15.6-inch FHD IPS | AMD Ryzen 5 5600H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Lenovo IdeaPad Gaming 3 15ACH6 82K201DSPH | 15.6-inch FHD IPS | AMD Ryzen 5 5600H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Lenovo IdeaPad Gaming 3 15ACH6 82K201DTPH | 15.6-inch FHD IPS | AMD Ryzen 5 5600H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Lenovo IdeaPad Gaming 3i 15IHU6 82K1001CPH | 15.6-inch FHD 120Hz | Intel Core i5-11300H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 10 |  |
Lenovo IdeaPad Gaming 3i 15IHU6 82K100Y2PH | 15.6-inch FHD | Intel Core i5-11320H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Lenovo IdeaPad Gaming 3i 15IHU6 82K100Y3PH | 15.6-inch FHD 165Hz | Intel Core i5-11320H | 8GB DDR4 RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Lenovo Ideapad S145-14IKB 4GB (Granite Black) | 14-inch HD Anti-glare | Intel Core i3-8130U | 4GB RAM | 1TB HDD + 128GB SSD | Intel UHD Graphics 620 | Windows 10 |  |
Lenovo IdeaPad Slim 1i 14IJL7 82LV0026PH | 14-inch HD | Intel Celeron N4500 | 4GB RAM | 128GB eMMC | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3 14ALC6 82KT002LPH | 14-inch FHD | AMD Ryzen 5 5500U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Lenovo ideaPad Slim 3 14ALC6 82KT002QPH | 14-inch FHD | AMD Ryzen 3 5300U | 8GB DDR4 RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Lenovo IdeaPad Slim 3 14ALC6 82KT00P9PH | 14-inch FHD IPS | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3 15ALC6 82KU01AUPH | 15.6-inch FHD IPS | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 14IGL0 81WH004BPH | 14-inch HD | Intel Celeron N4120 | 4GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo ideaPad Slim 3i 14IGL05 81WH000HPH Black | 14-inch HD | Intel Celeron N4020 | 4GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 10 |  |
Lenovo Ideapad Slim 3i 14IGL05 81WH002TPH | 14-inch HD | Intel Pentium Silver N5030 | 4GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 10 |  |
Lenovo IdeaPad Slim 3i 14IGL05 81WH009TPH | 14-inch HD | Intel Celeron N4020 | 4GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 14IML05 81WA00NKPH | 14-inch HD | Intel Pentium Gold 6405U | 4GB DDR4 RAM | 256GB SSD | Intel UHD Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 14ITL05 81X70076PH | 14-inch FHD | Intel Core i5-1135G7 | 8GB DDR4 RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Lenovo IdeaPad Slim 3i 14ITL05 81X700DUPH | 14-inch FHD | Intel Core i3-1115G4 | 8GB DDR4 RAM | 512GB SSD | Intel UHD Graphics | Windows 11 |  |
